Price	Open	High	Low
50.85	50.15	52	50.15
52	51.1	52	50
50.2	50.6	50.6	49.9
50.6	51.05	51.8	50
51.5	51.45	51.95	50.95
51.8	51	52.25	50.2
50.05	50.05	51.5	50
50	50	50.4	49.75
50.5	49	50.5	49
49	48.4	49	48.4
48	47.9	48	47.5
46.8	46.5	48	46.5
47.9	47.2	47.95	47
46.85	46.3	47.3	46.05
46.2	48	48	45.75
47.5	48.1	48.1	47.5
48.1	47.95	48.5	47.95
47.7	47.7	47.75	47.15
47.8	46.3	48.2	46.3
47.95	45.7	48	45.6
45.7	45	45.95	45
45	47.2	47.3	45
47.1	48.9	48.9	47.1
48.5	48.5	48.95	48
48.5	48.2	49	48
49	48.9	49	47.6
49	47.65	49	47.2
47.65	48.75	49.2	47.65
47.2	49.6	49.8	47.2
49.45	49.45	49.55	49
49	48.5	49.5	48.5
48.5	48.45	49.45	48.3
48.5	48.2	48.5	46.5
48.2	48.05	48.5	47.9
48	47.1	48.1	47
46.25	47.2	47.2	46.25
45.45	45.35	46	45
45.4	44.75	45.5	44.45
44.9	45	45.5	43.5
45.2	46.7	46.7	45
46.7	45.5	46.7	44.2
45	46	46.95	44.25
46	43.7	47	43.5
43.7	41.3	44.5	41.3
41.25	42.5	42.5	40
42.8	43.55	44.8	42.05
45.95	44.5	45.95	43.65
43.6	45	45	43.5
48	49.2	49.2	47.95
49.5	48.75	49.5	48.25
49.6	48.45	49.6	47.6
48.45	48	48.45	47.2
48.5	47	48.6	46.8
47	47.35	47.35	45.3
46.5	48.05	48.05	46
48.05	49.85	49.85	48.05
48.3	50	50	48.3
50	50	50.9	50
50	50.65	50.9	49.8
50.3	50.25	50.65	50
50.8	50.95	50.95	50.5
50.25	50.5	50.95	50.25
50.95	50.95	51	50.5
50.95	51	51	50.5
50.95	50.95	51	50.05
50.95	49.7	50.95	49
49	49	49.9	49
49	51	51	49
50.5	50	50.75	49.3
50.5	49.95	50.5	48.3
50	50	51	49.6
50.75	50	50.75	49.7
50	48.95	50	48.95
48	49.5	49.5	47.95
49.4	49.5	49.65	48.2
50	48	50	47.8
49	49.9	49.9	48
50	48.4	50	48.4
49.1	49	50.4	48.6
49	50.4	50.5	48.3
50.5	48.2	50.5	48.2
50.3	50.8	50.8	46
50.2	48.65	50.35	48.65
48.5	46	48.75	46
45.95	41.5	45.95	41.5
40	42.5	43.9	40
42.5	44.25	44.25	42.5
44.5	45.5	45.5	44.5
46.3	47.55	47.6	46.3
47.55	50	50.2	47.55
49.2	48.9	50.4	48.5
48	48.6	48.6	47.9
48.6	47.9	50	47.9
47.5	52	52	47
52	53	53	50.6
53	52	53.4	52
52	52.95	53	52
52.95	51.5	53.2	51
52	54.4	54.4	51.6
54.7	53	54.7	52.35
52.35	53.95	53.95	51.7
54	54.1	54.1	52.9
54.1	56.4	56.4	53.5
56.5	54.55	56.5	54
53.8	53.95	53.95	53.5
54.3	56.45	56.45	53.8
56.5	56.75	56.75	56
56.75	56.95	56.95	55.8
56.95	56.8	56.95	56
56.8	56	56.9	55.65
55.5	56	56.5	55.5
56	56	56.1	55.05
56	56.95	56.95	55.95
56.85	56.2	56.95	56.2
56.05	57	57	55
57	55.8	57	55.8
56.9	56.9	57	56.1
57	57	57.3	56.9
57	56.8	58	56.75
56.65	58.4	58.6	56.65
58.4	57.6	58.5	57.6
56.95	57.4	57.4	56.9
57	57	57	56.9
56.9	57.15	57.15	56.7
57	57	57.1	56.9
57	55.5	57.1	55.2
55.95	55.1	56.3	55.1
55	56	56.9	55
58.2	54.7	58.2	54.7
54.7	55	55	54.2
55	54.8	55	54
54.35	54	54.95	54
54.3	54	54.3	53.8
54.75	55	55	54.45
55	54.95	55	54.85
54.85	54.85	54.95	54.8
54.75	54.45	54.85	54
54.45	55	55	54
54.7	54.6	54.7	54.2
54.7	55.2	55.5	54.6
54.5	53.7	54.65	53.7
53.75	55	55	53.6
54.35	55.2	56.9	54.35
55.15	54.75	55.2	54.75
54.75	55	55.05	54.75
54.75	55.5	55.5	54.35
54.5	55.7	55.8	54.5
55.75	55	56.2	55
54.8	56.45	57	54.3
56.5	56.7	57	56
56.7	57.3	57.3	56.7
57.3	57.3	58.1	57.25
57.2	58.45	58.45	57
59.05	59.1	59.7	58.7
59	59.85	60	59
59.3	60.45	61	59.3
60	59.5	61	59.5
59.5	59.3	59.5	59
59.3	59	59.5	58.8
58.7	58	59	58
59	59	59	57.05
59	58.4	59	57.4
58.6	59	59	57.8
58	58.9	59	58
58.9	59.4	60	58.5
60.3	60	60.3	58.5
60	59.8	60	58
59.9	58	60.3	57.8
58.55	57.75	58.7	57.5
58	57.95	58.2	57.9
58	57.9	58	57.5
57.8	57	57.9	57
57.5	57.5	57.5	57.4
57.3	57	58	57
57	57.35	57.45	56.95
57.35	57	57.4	57
57	56.95	57.5	56.95
57	56.85	57	56.85
57	57.4	57.4	56.9
57.5	57	57.5	56
57	56	57.2	56
55.75	55.55	56	55.5
55.55	55	55.6	55
54.1	56	56	54.1
55.9	56	56.15	55.55
56	55.8	56	55.1
55.75	55.65	56	55.1
55.65	56.5	56.5	55.5
56.5	55.8	56.5	55.1
55.8	57	57	55.5
56.95	57	57	56.85
57	55.95	57	55.95
55.95	55.8	56.1	55.2
55.8	56.85	56.85	55.4
56.8	56.8	57	56.55
56.8	56.6	56.8	56.45
56.6	55.2	56.6	55.2
55.2	55.5	55.5	54
55.1	54.05	56	54
54.1	54.05	54.2	54
54	54.4	54.4	53.75
53.5	53	54.2	53
53.15	53	53.5	52.9
52.9	52.9	53.1	52.85
52.95	53	53.5	52.8
52.5	53	53	52.2
52	52	52.4	52
51.5	52.3	54	51.5
52.2	52.1	52.2	51.95
52.1	51.9	52.5	51.85
51.9	51.7	52.05	50.8
51.7	51.05	52.5	51.05
50.9	51.9	51.9	50.5
51.65	51.5	51.8	51.5
51.45	50.95	51.7	50.5
50.95	50.05	51.35	50.05
50	51.8	51.85	49.55
51.8	52.9	52.9	51.3
52.9	51.5	52.9	51.4
51.5	51.25	52	51
52.25	51	52.75	50.65
51	49.3	51	49.2
49.3	49.5	49.5	49
49.5	48.65	49.5	48.65
48.65	48.9	49	48.65
48.85	48.7	48.85	48.7
48.7	48.7	48.7	48.55
48.65	48.7	48.75	48.6
48.5	48.75	48.75	48.5
48.75	48.75	48.8	48.6
48.75	48.65	48.75	48.5
48.7	48.8	48.8	48.4
48.8	48.65	48.95	48.6
48.7	48.65	48.75	48.65
48.75	48.5	48.85	48.5
48.7	48.8	48.8	48.5
48.8	48.8	48.8	48.45
49	48.95	49	48
49	49.3	49.3	48.7
49.35	49.4	49.45	49.1
49.2	48.5	49.75	48.5
48.25	47.6	48.5	47.2
48	47.6	48	47.3
48	48	48.05	47.8
48	47.9	48	47.1
47.9	48.35	48.35	47.8
48.5	48.75	48.8	48.3
48.8	48.5	48.8	48.15
48.9	48.5	48.9	48.1
48.5	48.05	48.55	48
48.5	48.5	48.5	48.4
48.5	48.3	48.5	48.1
48.3	48.3	48.4	48.1
48.3	48.3	48.75	48.25
48	48.2	48.3	47.8
48.3	48.3	48.3	47.5
48.5	49	49	48.3
49	48.85	49	48.8
48.8	49	49.15	48.75
49	48.95	49.1	48.85
48.95	48.75	49	48.75
48.75	48.65	49	48.65
48.65	48.9	48.95	48.5
48.85	48.85	49	48.5
48.85	49	49	48.7
48.95	48.8	48.95	48.2
49	48.25	49	48.25
49	48.3	49	48.3
48	49	49	48
48.6	48.2	48.6	48.1
48.2	48.3	48.45	48.1
48.3	48.95	48.95	48.25
49	49	49.4	48.9
48.95	49.2	49.2	48.1
48.95	48.8	49	48
49.1	48.5	49.15	48.4
48.5	48.85	48.85	48
48.9	48	48.9	48
48	47.6	48	47.6
47.5	47.5	48	47.2
47.5	48	48	47.5
48	48.15	48.2	47.55
48.2	47.5	48.4	47.45
48.5	47.55	48.5	47.4
47.5	48	48	47.5
48.2	48.2	48.2	48
48.4	47.95	48.45	47
48	48.2	48.2	47.25
48.2	47.5	48.3	47.5
47.55	47.5	47.65	47.5
48.5	48.9	48.9	48.1
48.9	49	49	48.8
49.05	48.95	49.1	48.95
48.95	49.05	49.05	48.2
49.1	48.35	49.5	48.15
49	47.5	49	47.5
48.5	48.8	48.8	48.05
48.8	48.85	48.85	47.75
48.75	48.4	48.75	47.4
48.2	49	49	48
49	48.9	49	48.85
48.95	48.9	49.2	48
49.2	48.8	49.4	48.5
48.8	48.65	48.8	48.65
48.45	47.65	48.7	47.65
47.5	46.7	47.5	46.7
47	47.45	47.45	46.8
47.3	48.4	48.95	47.3
48.4	48.5	48.5	47
48.5	47.05	48.5	47.05
47.95	48.7	48.7	47.5
48.4	48.5	48.5	48
48.5	48.7	48.7	47.9
48.7	48.5	48.8	48.5
47.9	48.45	48.85	47.9
48.45	48	49.1	48
48	48	48	47.15
47	48.5	48.95	47
48.5	49.45	49.45	48
49.45	49.9	49.9	48.7
49	49.3	49.3	48.7
49	49.3	50	48.5
49.3	49.45	49.5	49.1
49.45	48.95	49.5	48.95
48.95	49.3	49.4	48.6
49.45	48	49.45	47.5
48	46.65	48.4	46.65
46.95	46	47.5	46
46.75	46.7	48	46.3
47.5	46.9	47.65	46.9
47.65	48.8	49.25	47.65
48.8	48.9	48.95	48.1
48	47.75	48.2	47
47.75	47.5	47.75	46.5
45	49	49	44
48	50.25	50.25	48
50.25	50	50.3	49.95
49.95	50.75	50.75	49.95
50	50	50.15	49.8
50.1	49.9	50.8	49.1
49	48	49	48
48.95	47.9	49.25	47.9
47.85	50.9	50.9	47.1
50.9	51.95	51.95	50.5
52	50.2	52.4	49.95
51.5	51.1	51.5	49.6
51.1	50	51.2	50
50	49	50	49
49.95	49.7	50	49.65
49.7	50	50	49.5
50	50.05	50.05	49.5
50	50.5	51	49
50.1	50	51.1	49
48	50	50.65	46.5
50.9	48.65	51.1	48.65
49.5	50.5	50.5	48.5
51	51.9	52.15	51
53	52.8	53	50.2
52.85	52.1	53	52.1
52.35	53.2	53.2	51.8
52	52.45	52.55	52
52.75	53	53	50.2
53.1	53.5	53.5	52.35
53.9	53	53.9	52.8
53	52	53.6	52
51.2	50.95	53.5	50.75
51	50	51	50
50.15	50.4	50.5	49.8
50.15	50	50.2	50
50	49.9	50.2	49.8
50	48.85	50	48.75
48.9	49.05	49.15	48.8
49.1	50.1	50.1	48
50.15	49.9	50.3	49.7
50	49.65	50.7	49.35
49	49.3	49.95	49
49.3	49.25	49.5	48.8
49.25	49.1	49.25	48.5
49.1	48.6	49.45	48.6
49.1	49	49.5	49
49	49.9	49.9	49
49.95	49.1	50.95	48.8
49	50.5	51.4	49
50.45	50.1	50.45	49.9
50.1	49.9	50.2	49.6
49.6	49.5	49.7	49
49.5	48.9	49.5	48.9
49	48.45	49.9	48.45
47.2	48.95	49.05	47.2
49	49.1	49.2	48.4
49.5	49	49.55	48.95
48.4	49.4	49.4	48.3
49.4	49.5	49.9	49.4
49.65	50	50.3	49.5
50.3	49.5	50.3	45
49.5	48.7	49.5	48.7
48.7	48.6	49.2	48.5
48.3	49.85	49.85	48.05
49.9	49.5	49.95	49.5
49.95	49.95	49.95	49.5
49.95	49.5	50	49.5
49.5	48.95	50.3	48
49.35	49.9	50	49.25
50	50	50.2	49.95
49.9	50	50.2	49.85
48.3	47.8	52.8	47.8
