Price	Open	High	Low
73.4	73	73.95	73
74	73.25	74.5	72.7
73.25	74.8	74.8	73
75.25	76	76	75
75	74.85	75.5	74
73.55	72.7	75	72.7
73.25	73.6	73.65	72.65
73.6	72.15	73.95	72.15
72.2	72.1	72.55	71.7
72.55	74.65	75.85	72.1
75.85	75.3	76.05	75.3
75.85	77	77	75.1
77	76.45	77	74.1
75.1	74.6	76.75	74.6
76.9	74.45	76.9	74.1
74.6	75.1	75.8	74.1
75.8	76.7	76.7	75.1
78	76.5	78	75
76.7	76.55	77.5	75.5
76.4	77.25	78	76
77.25	78.5	78.5	76.7
78.5	76.3	78.5	76.3
78.1	79.2	79.25	77
79.2	79.5	79.5	78.05
80	78.9	80	78.9
79	75.25	79	74.5
75.55	75.05	77	74.5
76.5	75.2	76.5	74.95
75.25	75.5	75.75	74.5
75.75	76.1	76.1	75.1
76.1	77	77.1	75.2
76.8	77	77	76
77	75.65	77.4	75.65
77.2	76.5	77.7	76.5
76.8	78	78	76.5
77.6	75	77.8	74.8
75.2	76	76	75
75.75	76.8	76.8	74.8
76.9	77.3	77.3	76.55
77.1	77.5	78.25	76.5
78.8	76.9	78.8	74.5
77	78	78	76.05
78	79.2	79.25	76.8
79.2	78.4	79.6	76.15
78.4	75.8	78.4	75.6
76.3	77	77.3	75.6
76	75.1	76	74.9
75.1	77.45	77.45	75
78	75	78	72.5
74.6	74.55	74.6	72
74.6	73	74.6	72
73.6	73.5	74	73.4
73.1	72.65	73.5	72.25
72.85	73.8	74.9	72.7
73.4	74	74	73.4
73.6	73	74.5	73
74.8	74.5	75.5	74.5
74.5	74	74.9	72.5
75	75.1	75.5	73
75.1	76.85	76.85	74
75.3	75.5	75.5	74.25
75.5	76	76.5	75.25
75.3	75.6	75.8	75
75.8	75.75	75.9	75.4
75.75	76	76.5	75.05
75.65	75.65	76.5	75.5
75	75	75.75	74.7
75.1	75.95	77.1	74.9
75	75.3	76	74.45
74.8	75.1	75.1	74.7
75	75.9	76	74.75
75.1	75.95	75.95	74.7
74.95	74.95	75.15	74.7
75.15	76	76	75
75.2	76.35	76.35	74.85
75.45	75.5	76.35	75
75.5	74.95	76.3	74.95
74.95	78	78	74.35
79.8	77.9	79.8	76
77.9	79.55	79.55	77.4
78	79	80	77.2
78	81.45	81.45	77.4
80.15	80.2	81.8	79.8
80.2	82.55	82.55	78.5
82.5	82.55	83	82.4
82.5	83	83	82
83	84.3	84.3	83
84.4	83.3	84.4	83.3
83.2	81.2	83.2	81.2
80.5	80	80.5	79.3
80	79	80	78.8
78.85	78.85	78.85	77.7
78.8	79	79	78.6
79	79.4	79.4	78.5
79.2	79.8	79.8	78.5
78	78.05	79	78
78	77.25	78.8	77.25
